coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sat Jul 02 08:06:40 +0000 2016,datasprintAAF archives data dataviz glamhack2016,,http://frama.link/datasprint_SWhack,0,749152297180102656,,,,en,,false,2,,,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>",#datasprintAAF : promoting #archives #data with simples tools #dataviz https://t.co/8R1Blp4lj8 #glamhack2016,https://twitter.com/daieuxdailleurs/status/749152297180102656,Fri Nov 06 21:52:25 +0000 2009,daieuxdailleurs,false,#archives + #histoire + #généalogie + #geek + #féminisme + #pragmatisme .. un peu #poilàgratter ? Blogging on http://t.co/alQ5g9swfZ,2685,2129,657,248,A l'Ouest,d'aïeux & d'ailleurs,daieuxdailleurs,22723,Paris,http://www.maiwenn-bourdic.fr,false
,Sat Jul 02 18:53:55 +0000 2016,GLAMhack2016 datasprintAAF,,,0,749315182497763328,,,,fr,,,5,749187574225334272,seeksanusername,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @seeksanusername: Excellente prez de @daieuxdailleurs pour le #GLAMhack2016 autour du #datasprintAAF
-&gt; Réutilisation des archives !
htt…",https://twitter.com/Archivistes_AAF/status/749315182497763328,Tue Jun 05 08:07:00 +0000 2012,Archivistes_AAF,false,"Suivez l’actualité de l’Association des archivistes français, informez-vous et participez ainsi aux événements qu’elle organise.",3313,4772,682,232,Paris,AAF,Archivistes_AAF,10551,Paris,http://www.archivistes.org/,false
,Sat Jul 02 16:10:48 +0000 2016,datasprintAAF archives data dataviz glamhack2016,,http://frama.link/datasprint_SWhack,0,749274133566001152,,,,en,,false,2,749152297180102656,daieuxdailleurs,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>",RT @daieuxdailleurs: #datasprintAAF : promoting #archives #data with simples tools #dataviz https://t.co/8R1Blp4lj8 #glamhack2016,https://twitter.com/BaO_patrimoine/status/749274133566001152,Tue Jul 08 19:47:35 +0000 2014,BaO_patrimoine,false,Boîte à outils #patrimoine #culture #archives sauce #numérique. Photos : https://t.co/NVwJwTqabz et https://t.co/fALA9bp861 / sévit aussi sous @daieuxdailleurs,47,1315,655,128,,Patrimoine&Numérique,BaO_patrimoine,2312,Lisbon,http://www.patrimoine-et-numerique.fr,false
,Sat Jun 04 09:39:13 +0000 2016,DatasprintAAF,,http://tokenheiser.blogspot.com/2016/04/d-comme-datasprintaaf.html?spref=,0,739028726005047297,,,,fr,,false,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Lorraine... et au-delà !: D comme #DatasprintAAF https://t.co/AqAIivwatF@,https://twitter.com/Jimbogenealogie/status/739028726005047297,Fri Aug 09 17:27:05 +0000 2013,Jimbogenealogie,false,Passionné à la fois de nouvelles technologies et de généalogie,3488,774,259,43,Ile de France,Jimbo Généalogie,Jimbogenealogie,7409,,http://darverne-et-darmorique.blogspot.fr/,false
,Sun Jul 03 18:31:39 +0000 2016,Archives datasprintAAF,,http://dlvr.it/Ljcx4l,0,749671964403531776,,,,en,,false,5,749664155922100224,daieuxdailleurs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @daieuxdailleurs: [veille] #Archives #datasprintAAF : presentation at the Swiss Open Cultural data hackathon… https://t.co/Yy1yLzFgsm ht…,https://twitter.com/macgraveur/status/749671964403531776,Wed Feb 08 12:54:55 +0000 2012,macgraveur,false,"Archiviste, admin de la #TeamAEDA et de l'AAF",4660,1094,963,113,Marseille,Julien Benedetti,macgraveur,8840,Paris,https://fr.linkedin.com/pub/julien-benedetti/86/6aa/282,false
,Sat Jul 02 08:16:33 +0000 2016,datasprintAAF archives data dataviz glamhack2016,,http://frama.link/datasprint_SWhack,0,749154782682746880,,,,en,,false,2,749152297180102656,daieuxdailleurs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @daieuxdailleurs: #datasprintAAF : promoting #archives #data with simples tools #dataviz https://t.co/8R1Blp4lj8 #glamhack2016,https://twitter.com/macgraveur/status/749154782682746880,Wed Feb 08 12:54:55 +0000 2012,macgraveur,false,"Archiviste, admin de la #TeamAEDA et de l'AAF",4660,1094,963,113,Marseille,Julien Benedetti,macgraveur,8840,Paris,https://fr.linkedin.com/pub/julien-benedetti/86/6aa/282,false
,Wed Apr 20 21:31:58 +0000 2016,Rennes inventaires archives datasprintAAF,,https://docs.google.com/presentation/d/1-6EuD57kavxta5Mmi_LP0Mv5khaNmpp4eq59ObldP-s/edit?usp=docslist_api,0,722900641161424897,,,,fr,,false,3,722679406972571648,daieuxdailleurs,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @daieuxdailleurs: Sur l'évolution de #Rennes, on a fait ça à partir des #inventaires #archives #datasprintAAF https://t.co/KKEzSfA2Hl ht…",https://twitter.com/JavaMajor/status/722900641161424897,Sat Sep 14 20:19:27 +0000 2013,JavaMajor,false,"Naviguer sur l'océan du web, découvrir des data numerica incognita, dans les bibliothèques, archives, livres anciens, manuscrits, et les cartes marines",768,291,241,137,Bretagne,Java Major,JavaMajor,10237,Paris,,false
,Mon Apr 04 21:04:06 +0000 2016,frise AAFTroyes16 datasprintAAF,,http://timemapper.okfnlabs.org/daieuxdailleurs/datasprintaaf-cartographie-am-brest-ouchacoff,7,717095422918070276,,,,fr,,false,3,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",un peu vexée par bug pdt atelier #frise #AAFTroyes16 alors cartographie #datasprintAAF cc @archivesBrest @Monoprix https://t.co/RRWalA6nTk,https://twitter.com/daieuxdailleurs/status/717095422918070276,Fri Nov 06 21:52:25 +0000 2009,daieuxdailleurs,false,#archives + #histoire + #généalogie + #geek + #féminisme + #pragmatisme .. un peu #poilàgratter ? Blogging on http://t.co/alQ5g9swfZ,2685,2129,657,248,A l'Ouest,d'aïeux & d'ailleurs,daieuxdailleurs,22723,Paris,http://www.maiwenn-bourdic.fr,false
,Fri Apr 08 08:41:39 +0000 2016,Datasprintaaf,,https://twitter.com/Limportant_fr/status/696985819291238400,3,718358132028751873,,,,fr,,false,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tiens ça me rappel un truc #Datasprintaaf https://t.co/ifRtFe72HQ,https://twitter.com/macgraveur/status/718358132028751873,Wed Feb 08 12:54:55 +0000 2012,macgraveur,false,"Archiviste, admin de la #TeamAEDA et de l'AAF",4660,1094,963,113,Marseille,Julien Benedetti,macgraveur,8840,Paris,https://fr.linkedin.com/pub/julien-benedetti/86/6aa/282,false
,Tue Apr 05 07:21:55 +0000 2016,datasprintAAF AAFtroyes16,,https://storify.com/daieuxdailleurs/datasprintaaf,11,717250901124235265,,,,fr,,false,7,,,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","En attendant que je finalise l'intro, voici tout de même le storify du #datasprintAAF #AAFtroyes16 https://t.co/yWSt7FKXZ1",https://twitter.com/daieuxdailleurs/status/717250901124235265,Fri Nov 06 21:52:25 +0000 2009,daieuxdailleurs,false,#archives + #histoire + #généalogie + #geek + #féminisme + #pragmatisme .. un peu #poilàgratter ? Blogging on http://t.co/alQ5g9swfZ,2685,2129,657,248,A l'Ouest,d'aïeux & d'ailleurs,daieuxdailleurs,22723,Paris,http://www.maiwenn-bourdic.fr,false
